XXX;XXX;;;;;;;;;;X
CHUNQIUKAIQI_NAME;770BC 春秋开启;;;;;;;;;;X
CHUNQIUKAIQI_DESC;犬戎破镐京，周幽王崩，宗周自此毁灭，天子居城迁往成周洛邑，中国开始了一个新的纷争时代。这一时期，大国博弈与小国求存成为了主旋律，礼乐制度和井田系统即将被历史淘汰，天下群雄，逐鹿中原！社会要变革，时代将进步，而在这一过程中，无数的伟大人物就将投身于这场历史的漩涡当中，去创造属于他们，也属于后人的千古传奇。;;;;;;;;;;X
PINGWANGDONGQIAN_NAME;770BC 平王东迁;;;;;;;;;;X
PINGWANGDONGQIAN_DESC;宗周镐京为犬戎所破，晋文侯、郑武公、卫武公、秦襄公起兵护送已故幽王之子平王入洛，西周自此终结，东周纪元开启。从此开始，周天子权威不在，中原王室衰微，难以号令诸侯，各诸侯大国开始蠢蠢欲动。同时，周平王赐岐山以西之地与秦，故秦始列于诸侯，而虢公立王子余臣，是为欈王。;;;;;;;;;;X
QUWODAIYI_NAME;745BC 曲沃代翼;;;;;;;;;;X
QUWODAIYI_DESC;晋昭侯封其叔父成师于曲沃，大于晋，晋由是分裂，终究造成了曲沃代翼的祸事，结果是曲沃系淘汰翼都系，小宗灭掉大宗，这是对周代分封制度的巨大讽刺，更令周礼无法接受的是周王室接受了这个事实，这便是春秋时代礼崩乐坏的开幕式！从此，晋国大宗，也就是翼都文侯一脉子孙自此基本成为历史的尘埃；曲沃系子孙，也就是成师的子孙居庙堂之高。新兴的晋国充满活力。;;;;;;;X
。;;;;;;;;;;X"
ZHENGBOKEDUAN_NAME;722BC 郑伯克段;;;;;;;;;;X
ZHENGBOKEDUAN_DESC;鲁史《春秋》开始于公元前722年，因为在这一年，郑伯克段于鄢。悠悠青草，洛水东流，江山如故，天下却不在独尊周王……郑伯之举开启了春秋第一段霸业，郑国即将引爆天下霸业之博弈的风暴，一场对霸主之位的争夺开始在中原主要国家中蔓延。赌局自此开盘！;;;;;;;;;;X
XUGEZHIZHAN_NAME;707BC 繻葛之战;;;;;;;;;;X
XUGEZHIZHAN_DESC;自从郑国称霸后，其国势蒸蒸日上，反观洛邑周天子，权势微弱。于是，郑庄公专横跋扈，“礼乐征伐自天子出”的传统受到严重威胁。周桓王决心通过天子最后的威望，来集结诸侯的力量，组成联军来讨伐不尊天子的郑国，以此挽救王室的最后尊严。不料天子之师败于诸侯城下，周桓王负伤，赌局的第一个输家竟是当今天子。;;;;;;;;;;X
CHANGSHAOZHIZHAN_NAME;684BC 长勺之战;;;;;;;;;;X
CHANGSHAOZHIZHAN_DESC;济水潺潺，泰山巍峨，东夷方国，谁人执掌。齐国内乱，公子小白回国即位，是为齐桓公。他任用管仲开始改革，使得齐国国力渐增。于是意图称霸的齐国，将第一个目标锁定为邻居鲁国。此时在鲁国，有一名布衣，名叫曹刿，决心通过自己的力量带领鲁国抵御齐国的入侵。齐军在长勺遇到了所谓不堪一击的鲁军，不料却败于曹刿，这是齐国霸业起步所受到的第一个挫折。;;;;;;;;;;X
JIUYANCUNWEI_NAME;664BC 救燕存卫;;;;;;;;;;X
