;;;;;;;;;;;;;x;
christian;华夏信仰;;;;;;;;;;X
liyuejiaohua;礼乐教化;;;;;;;;;;X
liyuebadao;礼乐霸道;;;;;;;;;;X
rujia;儒家;;;;;;;;;;X
fajia;法家;;;;;;;;;;X
mojia;墨家;;;;;;;;;;X
daojia;道家;;;;;;;;;;X
pagan;泛灵崇拜;;;;;;;;;;X
animism;鬼神崇拜;;;;;;;;;;X
ancestor;祖先崇拜;;;;;;;;;;X
GONGYANG;公羊学派;;;;;;;;;;X
GULIANG;谷梁学派;;;;;;;;;;X
MENGZI;孟子学派;;;;;;;;;;X
XUNZI;荀子学派;;;;;;;;;;X
SHANGYANG;商鞅法派;;;;;;;;;;X
SHENBUHAI;申不害术派;;;;;;;;;;X
SHENDAO;慎到势派;;;;;;;;;;X
YANGZHU;杨朱派;;;;;;;;;;X
HUANGLAO;黄老派;;;;;;;;;;X
LAOZHUANG;老庄派;;;;;;;;;;X
XIANGLISHI;相里氏之墨;;;;;;;;;;X
XIANGFUSHI;相夫氏之墨;;;;;;;;;;X
DENGLINGSHI;邓陵氏之墨;;;;;;;;;;X
ZWRYZZ;尊王攘夷;;;;;;;;;;X
EVTNAME60000;儒学传播;;;;;;;;;;X
EVTDESC60000;在一位贤者的推动下，儒家学说在$PROVINCENAME$普遍传播起来;;;;;;;;;;X
EVTOPTA60000;知道了;;;;;;;;;;X
EVTNAME60001;法家传播;;;;;;;;;;X
EVTDESC60001;在一位贤者的推动下，法家学说在$PROVINCENAME$普遍传播起来;;;;;;;;;;X
EVTNAME60002;墨家传播;;;;;;;;;;X
EVTDESC60002;在一位贤者的推动下，墨家学说在$PROVINCENAME$普遍传播起来;;;;;;;;;;X
EVTNAME60003;道家传播;;;;;;;;;;X
EVTDESC60003;在一位贤者的推动下，道家学说在$PROVINCENAME$普遍传播起来;;;;;;;;;;X
EVTNAME60006;融入中国;;;;;;;;;;X
EVTDESC60006;我国本是华夏后裔,虽流落蛮夷,但无时不想从复诸夏之礼.;;;;;;;;;;X
EVTOPTA60006;善哉!;;;;;;;;;;X
EVTNAME60009;谋夺侯伯之位;;;;;;;;;;X
EVTDESC60009;我们作为仅次于霸主的大国：如今侯伯失德,打着尊王攘夷的幌子行挟天子以讨不服之实，我们应该号召诸侯罢黜霸主,重复尊王攘夷!;;;;;;;;;;X
