XXX;XXX;;;;;;;;;;X
EVTNAME870;出城反击;;;;;;;;;;X
EVTDESC870;孤城被围，危在旦夕，国家之存亡在此一役。与其坐以待毙，不如奋起一击，征募勇士，乘敌军疲敝之时，率军突围。;;;;;;;;;;X
EVTOPTA870;进攻！;;;;;;;;;;X
flood_attack_355_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_355_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_124_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_124_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_361_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_361_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_339_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_339_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_482_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_482_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_480_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_480_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_65_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_65_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
flood_attack_346_title;掘河攻城;;;;;;;;;;;;;x
flood_attack_346_desc;在水陆要冲掘开河口，水攻下游城市，这会使得当地受到严重打击;;;;;;;;;;;;;x
EVTNAME895; $PROVINCENAME$ 叛变.;;;;;;;;;;X
EVTDESC895;由于长期的战争占领， $PROVINCENAME$ 城主决心叛逃，他已经向敌国发出使者要求投靠，这可能导致我国在和谈开始前就损失掉这个重要的城邑。;;;;;;;;;;X
EVTOPTA895;无耻之徒;;;;;;;;;;X
EVTNAME896;$FROM$ ! 遣使投靠;;;;;;;;;;X
EVTDESC896;$FROM$ 已经遣使来降，我们现在可以直接强行割走他而不是通过谈判。;;;;;;;;;;X
EVTOPTA896;接收投诚;;;;;;;;;;X
EVTOPTB896;遵循正道;;;;;;;;;;X
EVTNAME4601;墨家救援;;;;;;;;;;X
EVTDESC4601;我国正在战争中处于危险的境地，墨家遵守了和我们的条约前来协助我们进行战争，这是我国长期支持墨家的结果。;;;;;;;;;;X
EVTOPTA4601;请求巨子率领墨者参战;;;;;;;;;;X
EVTOPTB4601;请墨家子弟到各城协防;;;;;;;;;;X
EVTNAME4602;墨家救援解除;;;;;;;;;;X
EVTDESC4602;墨家认为当前的政治形势下，他们没有必要继续支持我国的战争，墨家子弟纷纷离开了我国的都城。;;;;;;;;;;X
EVTOPTA4602;感谢他们的帮助;;;;;;;;;;X
mojiajiuyuan;墨家救援;;;;;;;;;;X
desc_mojiajiuyuan;墨家正在支持我国举行的正义战争，这将为我国战争的胜利提供有力的帮助。;;;;;;;;;X
EVTNAME1344;统一战争的时机;;;;;;;;;;X
EVTDESC1344;当前国家实力空前强大，其余诸国已然无力与我国对抗，此诚讨定天下诸侯之良机。横扫四海，一统六合，不立决于此时而待何？愿陛下圣决。（一旦选择开启统一战争，将获得强力buff和直接事件吞并任何国家的能力，但20年内无法统一将面临巨大风险）;;;;;;;;;;X
EVTOPTA1344;可蚕食而不可鲸吞;;;;;;;;;;X
EVTOPTB1344;时不我待！;;;;;;;;;;X
slow_unify;循序渐进;;;;;;;;;;X
desc_slow_unify;国家虽强，但无力承担统一战争的风险，且循序渐进可矣;;;;;;;;;X
fast_unify;统一战争;;;;;;;;;;X
desc_fast_unify;国家已经发起了总动员，全面统一战争正在进行中。;;;;;;;;;X
EVTNAME1346;兼并敌国;;;;;;;;;;X
EVTDESC1346;我国在统一战争的进程中已经取得了全面胜利，敌人已经宣告失败，是时候直接吞并对手了。;;;;;;;;;;X
EVTOPTA1346;吞并降国;;;;;;;;;;X
EVTOPTB1346;不必如此;;;;;;;;;;X
EVTNAME1347;统一战争结束;;;;;;;;;;X
EVTDESC1347;统一战争宣告结束，虽然仍然有少量弹丸小国或边远蛮夷尚未归顺王统，但今大事已定，全国性的战争动员可以提前终结了，再也没有任何国家有机会挑战我国的无上地位。;;;;;;;;;;X
EVTOPTA1347;大赦天下！;;;;;;;;;;X
