;;;;;;;;;;;X,,
fengjian;封建诸侯制;;;;;;;;;;X,,
fengjian_desc;封建诸侯国家名义上都是周天子的封臣，同时在他们的国家内部也施行封建制度，国家权力在君主和贵族之间分享,士大夫拥有封地，向君主缴纳贡奉, 提供武装力量。君主为封臣提供庇护，同时向周天子进贡. ;;;;;;;;;;X
fengjian_ruler;国君;;;;;;;;;;X,,
fengjian_ruler_vassal;君;;;;;;;;;;X,,
celestial_empire;天下共主制;;;;;;;;;;X,,
celestial_empire_desc;天子名义上拥有对天下的绝对拥有权，这是毋庸置疑的，诸侯拱卫天子，抵抗蛮夷，这是周代开创的的理想政治制度，但实际情况是天子的权力随着时代推移而削弱. ;;;;;;;;;;X,,
celestial_empire_ruler;天子;;;;;;;;;;X,,
yuanshuai;元帅士卿制;;;;;;;;;;X,,
yuanshuai_desc;君主的的权力部分分配给公家或士卿，他们在朝廷中掌握权力，而君主负责协调和平衡。当对外作战时，由公卿出任元帅，总领国家军事权力，在很大的程度上代行君主的权力，战后将权力交还君主. ;;;;;;;;;;X,,
yuanshuai_ruler;国君;;;;;;;;;;X,,
zhizheng;执政士卿制;;;;;;;;;;X,,
zhizheng_desc;国家的主要权力由公家或士卿分割，君主只保留关键事物上的决定权。各大家族平分权力，执政地位在各家族之间轮流转换，这种权力更替往往伴随着激烈的政治斗争. ;;;;;;;;;;X,,
zhizheng_ruler;国君;;;;;;;;;;X,,
absolute_monarchy;君主独裁制;;;;;;;;;;X,,
absolute_monarchy_desc;随着生产力的发展，封建制度逐渐瓦解，君主的权力逐渐扩大，以君主为核心建立的士大夫体系政权，国内军政事务的权力逐渐集中到君主个人，其特殊地位不断强化. ;;;;;;;;;;X,,
absolute_monarchy_ruler;国君;;;;;;;;;;X,,
enlightened_despotism;君主集权制;;;;;;;;;;X,,
enlightened_despotism_desc;随着国家面积的扩大，中央政府的权力和地位随之扩大，各国在经历了公卿分权的动荡之后纷纷走上集权的道路，由此建立了一种新的政体. ;;;;;;;;;;X,,
enlightened_despotism_ruler;国君;;;;;;;;;;X,,
tribal_federation;部落联盟制;;;;;;;;;;X,,
tribal_federation_desc;部落联盟是一种松散的组织结构，与原始社会的氏族制度和原始公社类似，各部落之间存在相当大的独立性，但在对外战争等重要问题上，会选取一位有威望者作为首领. ;;;;;;;;;;X,,
tribal_federation_ruler;酋长;;;;;;;;;;X,,
tribal_despotism;部落独裁制;;;;;;;;;;X,,
tribal_despotism_desc;部落独裁是部落联盟的进一步发展，随着组织结构的扩大，原始的公社制度逐渐不能适应军事、生产中的需求，效率更高的的独裁制度成为新的政治体制，但这种独裁仍是原始的，带有强烈的部落制特征。;;;;;;;;;;X,,
tribal_despotism_ruler;大酋长;;;;;;;;;;X,,
tribal_despotism_ruler_hu;可汗;;;;;;;;;;X,,
tribal_despotism_ruler_man;蛮王;;;;;;;;;;X,,
tribal_despotism_ruler_yi;夷王;;;;;;;;;;X,,
tribal_despotism_ruler_rong;戎王;;;;;;;;;;X,,
tribal_despotism_ruler_di;狄王;;;;;;;;;;X,,
zhongshang;商业邦国制;;;;;;;;;;X,,
zhongshang_desc;某些小国以商业立国，开放国家市场，吸引各国商人在此交易，国家从中收取赋税。和平的广泛贸易是对此政体最有利的选择，财富也许会改变国家的命运。;;;;;;;;;;X,,
zhongshang_ruler;国君;;;;;;;;;;X,,
noble_republic;周召共和制;;;;;;;;;;X,,
noble_republic_desc;当君王失道或者君主年幼时，朝廷主要的大臣承担起权力，以贵族共和的形式主持朝政，此政体在一定时间内能够确保国家的稳定，但并非长远之计. ;;;;;;;;;;X,,
noble_republic_ruler;国君;;;;;;;;;;X,,
reformed_despotism;变法君主制;;;;;;;;;;X,,
reformed_despotism_desc;当国家的旧有政体不能适应新的形势，变法就势在必行，但这会激起传统利益的既得者的强力反抗，因此为了变法而施行更大程度的集权势在必行，国家的政策调整更加迅速，但这意味着动乱的风险. ;;;;;;;;;;X,,
reformed_despotism_ruler;国君;;;;;;;;;;X,,
centralization_empire;集权帝国制;;;;;;;;;;X,,
centralization_empire_desc;强大的国家和广袤的国土意味着新制度的施行，突破旧时代的集权制度建立，君主以皇帝自称，君临天下，这是未来两千年中国的政治体制核心. ;;;;;;;;;;X,,
centralization_empire_ruler;皇帝;;;;;;;;;;X,,
feudal_empire;封建帝国制;;;;;;;;;;X,,
feudal_empire_desc;国家面积的扩大使得君主没有精力掌管全国事物，必要的分封重新出现，但这不是历史的倒退，而是以皇帝与诸侯为体系的封建帝国体制，是周天子共主制的进步. ;;;;;;;;;;X,,
