;;;;;;;;;;;X
spy_ring_infiltration;安插宫中亲信;;;;;;;;;;X
spy_ring_infiltration_desc;在他国宫廷中秘密安插本国的亲信，伺机窃取重要的情报，尤其是政治和军事动向的信息，大大降低对方间谍行动效率和间谍防御能力。;;;;;;;;;;X
spies_infiltrated;间谍渗透;;;;;;;;;;X
desc_spies_infiltrated;我们的情报组织已经被他国所渗透, 在找到隐藏的敌人前将有一段时期的行动乏力。;;;;;;;;;;X
incite_against_merchant;打击商人行会;;;;;;;;;;X
incite_against_merchant_desc;派出人员以金钱和欺诈手段，打压其他国家的商人集团，以为本国谋求更大的商业利益。;;;;;;;;;;X
merchants_despised;商人危机;;;;;;;;;;X
desc_merchants_despised;我国的商人目前处境艰难，似乎有国家组织处处与我们作对，我国的商人在外经营困难陡增。;;;;;;;;;;X
tarnish_reputation;毁谤声望;;;;;;;;;;X
tarnish_reputation_desc;在敌国的首都散布谣言，和各国使节宣扬该国不可告人之秘，削弱其君主的威望和统治合法性。;;;;;;;;;;X
infiltrate_administration;全面密探渗透;;;;;;;;;;X
infiltrate_administration_desc;派出大量密探进入敌国，获得经济、军事等相关信息，我们对他国情况就如对本国情况一样熟悉。(去掉战争迷雾);;;;;;;;;;X
sow_discontent;挑动不满;;;;;;;;;;X
sow_discontent_desc;以重金厚币贿赂朝中显贵，令其利令智昏，倒行逆施；并进一步挑动地方实力派贵族，造成全国范围内的不满。;;;;;;;;;;X
discontent_sowed;不满;;;;;;;;;;X
desc_discontent_sowed;人们普遍不满我们的政府统治..;;;;;;;;;;X
sabotage_reputation;夸大威胁;;;;;;;;;;X
sabotage_reputation_desc;排除说客四处游说，宣扬该国意欲军事称霸、并吞他国的野心，使得各国对其侧目而畏惧。;;;;;;;;;;X
counterfeit_currency;贿赂官员;;;;;;;;;;X
counterfeit_currency_desc;以重金向朝中宠臣行贿，同时输出劣质金属货币扰乱该国经济，使其通货膨胀率猛增。;;;;;;;;;;X
assassinate_advisor;刺杀重臣;;;;;;;;;;X
assassinate_advisor_desc;该国在某位重臣的领导下国力蒸蒸日上，因此它对我国而言是重大的威胁，需要除之而后快。;;;;;;;;;;X
bribe_defenders;细作入城;;;;;;;;;;X
bribe_defenders_desc;尽管春秋战国时代的城防建设不如后来，但进攻一座拥有防御工事的城市仍然非常困难，如果有办法从内部打开缺口，将会对围城大有帮助。;;;;;;;;;;X
support_revolt;策划叛乱;;;;;;;;;;X
