;;;;;;;;;;;;;x;
war_with_ZHOU;与天子交恶;;;;;;;;;;;;;x;
desc_war_with_ZHOU;周天子虽然威信不再，但仍是名义上的天下共主，我国贸然与其交恶，引起了其他诸侯极大的不满，国内反对的声音也很多;;;;;;;;;;;;;x;
war_with_ZHOU2;伐周问鼎;;;;;;;;;;;;;x;
desc_war_with_ZHOU2;我本蛮夷也，今兵强马壮而入主中原，大军直驱洛邑，风头正盛，天下侧目;;;;;;;;;;;;;x;
chinese_hre;华夏诸侯;;;;;;;;;;;;;x;
desc_chinese_hre;我国是中原华夏诸侯之一，上遵从天子，中贡赋霸主，下善待百姓，这一切都是国家稳定的基础;;;;;;;;;;;;;x;
reichsreform_emperor;巩固霸主地位;;;;;;;;;;;;;x;
desc_reichsreform_emperor;经过多年积累，我国的霸主地位已经得到了加强，这主要归功于几代先王的励精图治，长期维持了我国霸业不堕;;;;;;;;;;;;;x;
reichsregiment_emperor;诸侯朝贡常规化;;;;;;;;;;;;;x;
desc_reichsregiment_emperor;随着我国霸主地位的确立，各诸侯国向我国进贡已经成为了常规，每年九月，天下诸侯会聚于我国首都，送上今年的供奉;;;;;;;;;;;;;x;
reichsregiment_member;诸侯朝贡常规化;;;;;;;;;;;;;x;
desc_reichsregiment_member;随着我国霸主地位的确立，各诸侯国向霸主进贡已经成为了常规，每年九月，我们必须前往霸主的都城，送上今年的供奉;;;;;;;;;;;;;x;
gemeinerpfennig_emperor;禁止诸侯私相勾结;;;;;;;;;;;;;x;
desc_gemeinerpfennig_emperor;为了防止诸侯国颠覆我国的霸主地位，我国向各国派出大臣常驻，监事和禁止一切诸侯之间相互勾结的行为;;;;;;;;;;;;;x;
hofgericht_member;禁止诸侯私相勾结;;;;;;;;;;;;;x;
desc_hofgericht_member;霸主为了防止诸侯国颠覆其统治地位，向各国派出大臣常驻，监事和禁止一切诸侯之间相互勾结的行为，我国外交行动受限;;;;;;;;;;;;;x;
kongzhizhou;控制周王室;;;;;;;;;;;;;x;
desc_kongzhizhou;我国如今已经完全控制了周王室，其一切举动都必须先和我国商议之后才能进行，周天子名存实亡，不过这引起了很多华夏诸侯的私下不满;;;;;;;;;;;;;x;
zhouweiwang;诸侯朝周正常化;;;;;;;;;;;;;x;
desc_zhouweiwang;自从诸侯朝周正常化以来，周王室的地位不断提高，其威望也在不断恢复;;;;;;;;;;;;;x;
landfriede_emperor;恢复朝觐制度;;;;;;;;;;;;;x;
desc_landfriede_emperor;ABC;;;;;;;;;;;;;x;
erbkaisertum_emperor;恢复定期盟会;;;;;;;;;;;;;x;
desc_erbkaisertum_emperor;周天子要求恢复旧有的盟会制度，加强诸侯国之间的联系，同时也是加强周王室对于天下的掌控;;;;;;;;;;;;;x;
erbkaisertum_member;恢复定期盟会;;;;;;;;;;;;;x;
desc_erbkaisertum_member;周天子要求恢复旧有的盟会制度，加强诸侯国之间的联系，同时也是加强周王室对于天下的掌控;;;;;;;;;;;;;x;
zhoushuishou;恢复周王赋税;;;;;;;;;;;;;x;
desc_zhoushuishou;普天之下，莫非王土；率土之滨，莫非王臣；如今周王已经恢复了对于天下的权力，地方的赋税的一部分必须向周王室直接缴纳，地方诸侯的部分则相应减少;;;;;;;;;;;;;x;
privilegia_de_non_appelando_member;恢复周王赋税;;;;;;;;;;;;;x;
desc_privilegia_de_non_appelando_member;普天之下，莫非王土；率土之滨，莫非王臣；如今周王已经恢复了对于天下的权力，地方的赋税的一部分必须向周王室直接缴纳，地方诸侯的部分则相应减少;;;;;;;;;;;;;x;
privilegia_de_non_appelando_emperor;率领诸侯入朝;;;;;;;;;;;;;x;
desc_privilegia_de_non_appelando_emperor;我国作为霸主，多年以来致力于恢复周王的权威，如今诸侯拜服，四夷安定，所有的诸侯将亲自来到洛邑，朝见周天子;;;;;;;;;;;;;x;
daizhou_lv1_title;稳固霸主地位（代周）;;;;;;;;;;X
daizhou_lv1_desc;加强霸主的地位，这将会造成以下影响:\n\n中原霸主\n 每年威望+1%;;;;;;;;;;X
EVTNAME9057;霸主要求稳固地位;;;;;;;;;;X
EVTDESC9057;周王室的权力衰微. 在这一年, 中原的霸主, $YEAR$, 诸侯的指挥者\n$EMPERORNAME$, \n以霸主的身份召集了华夏各地的诸侯们，提出了一项关于强化霸主地位的提议，诸侯们歃血为盟，在河水边起誓。依照霸主的意愿, 霸主将成为长期有效的政治机制，代行周天子的权力，使华夏更加团结，以有利的抵抗外族的入侵。但私下里, 部分诸侯认为这样的行为违背了周礼，伤害了诸侯们的权益神意，在这次变革中我们应站在哪一边? ;;;;;;;;;;X
EVTOPTA9057;顺从霸主的意思. ;;;;;;;;;;X
EVTOPTB9057;坚决反对这种破坏周王地位的事情;;;;;;;;;;X
EVTNAME9058;在 $PROVINCECAPITAL$ 的盟会宣布加强霸主地位;;;;;;;;;;X
EVTDESC9058;在 $PROVINCECAPITAL$ 的盟会宣布加强霸主地位;;;;;;;;;;X
EVTOPTA9058;时代在改变;;;;;;;;;;X
daizhou_lv2_title;诸侯朝供常规化;;;;;;;;;;X
daizhou_lv2_desc;诸侯朝供霸主成为常规，每年定期进行 这会造成以下影响:\n\n华夏系统成员\n  税收-5%\n\n中原霸主\n  税收+10% ;;;;;;;;;;X
EVTNAME9059;霸主要求朝供常规化;;;;;;;;;;X
EVTDESC9059;周王室的权力衰微，在这一年，中原的霸主, $YEAR$, 诸侯的指挥者\n $EMPERORNAME$, \n以霸主的身份召集了华夏各地的诸侯们，在盟会上提出了一项关于诸侯朝贡常规化的决议。霸主, 强调他对于周王室的忠诚, 但同时也提到了面临蛮夷入侵的巨大压力，因此他说霸主必须强化诸侯对其臣服的制度。我们在这个时代变革的抉择中应该站在哪一边? ;;;;;;;;;;X
EVTOPTA9059;顺从霸主的命令;;;;;;;;;;X
EVTOPTB9059;这并不符合周朝的旧制度. ;;;;;;;;;;X
EVTNAME9060;在 $PROVINCECAPITAL$ 的盟会;;;;;;;;;;X
EVTDESC9060;在 $PROVINCECAPITAL$ 的盟会宣布诸侯朝供常规化.  ;;;;;;;;;;X
EVTOPTA9060;时代的变革;;;;;;;;;;X
daizhou_lv3_title;禁止诸侯勾结;;;;;;;;;;X
daizhou_lv3_desc;严令禁止华夏诸侯私下交往，必须定期派出代表觐见霸主，汇报国家情况. 这会造成以下结果  :\n\n华夏系统成员\n- 使节数量 -1\n\n中原霸主\n  外交力 +2;;;;;;;;;;X
EVTNAME9061;禁止诸侯勾结;;;;;;;;;;X
EVTDESC9061;周王室的权力衰微，在这一年，中原的霸主, $YEAR$, 诸侯的指挥者\n $EMPERORNAME$, \n以霸主的身份召集了华夏各地的诸侯们. 在盟会上重申禁止诸侯私下勾结，旨在加强霸主和各诸侯国之间的联系;;;;;;;;;;X
EVTOPTA9061;顺从霸主的命令;;;;;;;;;;X
EVTOPTB9061;这是赤裸裸的压迫！ ;;;;;;;;;;X
EVTNAME9062;在 $PROVINCECAPITAL$ 的盟会;;;;;;;;;;X
EVTDESC9062;在 $PROVINCECAPITAL$ 的盟会宣布禁止诸侯勾结.  ;;;;;;;;;;X
EVTOPTA9062;时代在改变;;;;;;;;;;X
daizhou_lv4_title;降低周王地位;;;;;;;;;;X
daizhou_lv4_desc;降低周王室的权力，使其只具有象征性意义，不能够直接对诸侯发号施令，取而代之的是霸主的权. 这将产生以下效果:\n\n周天子\n- 不再获得朝贡\n\n霸主\n- 恶名  +4;;;;;;;;;;X
EVTNAME9063;降低周王地位;;;;;;;;;;X
