;;;;;;;;;;X
CRUSADE_TOO_DISTANT;对于进行十字军东征, \n这些异教徒是太遥远的目标. ;;;;;;;;;;X
EXCOM_NOT_LESSER_UNION;在联合统治中, \n你只能针对那些资深伙伴. ;;;;;;;;;;X
UNION_TAG_DESC;由于 $COUNTRY$ 是一个所有 $GROUP$ 文化的集合, \n这些文化是完全集成并没有受到处罚. ;;;;;;;;;;X
PEACEACCEPTENEMY_SETUP;当敌对国家与另一个国家接受和平条约;;;;;;;;;;X
PEACEACCEPTENEMY_HEADER;使者来自;;;;;;;;;;X
PEACEACCEPTENEMY_1;$RECIPIENT$;;;;;;;;;;X
PEACEACCEPTENEMY_2;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;;X
PEACEACCEPTENEMY_3;接受和平;;;;;;;;;;X
PEACEACCEPTENEMY_4;和他们之前的敌人;;;;;;;;;;X
PEACEACCEPTENEMY_5;$ACTOR$;;;;;;;;;;X
PEACEACCEPTENEMY_6;就以下条款:\n $TERMS$;;;;;;;;;;X
PEACEACCEPTENEMY_LOG;$RECIPIENT$ 已经接受和$ACTOR$ 的和平条约关于以下条款: \n$TERMS$;;;;;;;;;;X
PEACEACCEPTENEMY_BTN1;令人不安;;;;;;;;;;X
PEACEACCEPTENEMY_BTN2;令人不安;;;;;;;;;;X
PEACEACCEPTENEMY_BTN3;跳转到;;;;;;;;;;X
PEACEACCEPTENEMY_MAP;和平! ;;;;;;;;;;X
CCOT_NEIGHBOUR;这个省份太接近$WHO$\n所以他不能成为新的中心. ;;;;;;;;;;X
STAGNATION;圣 ;;;;;;;;;;X
solidify_our_papal_relations_title;巩固我们和天子的关系;;;;;;;;;;X
solidify_our_papal_relations_desc;我们是正统的中原国家, \n但是此刻却远离和天子保持热切的关系. \n我们需要改善它, 否则我们将会远离那个唯一的信仰. ;;;;;;;;;;X
keep_rival_out_of_italy_title;保持把 $COUNTRY$ 排斥在意大利之外! ;;;;;;;;;;X
keep_rival_out_of_italy_desc;我们不能让 $COUNTRY$ 出现在意大利. \n他们是我们的劲敌之一, 而这里是我们的势力范围. \n意大利应该是我们的版图. ;;;;;;;;;;X
HAVE_LESS_MEN_THAN;军队少于;;;;;;;;;;X
HAVE_MORE_MEN_THAN;军队至少等于;;;;;;;;;;X
HAVE_LESS_SHIP_THAN;舰队少于;;;;;;;;;;X
HAVE_MORE_SHIP_THAN;舰队至少等于;;;;;;;;;;X
RIVAL_COUNTRY_STARTS;天敌;;;;;;;;;;X
THREAT_COUNTRY_STARTS;感到威胁;;;;;;;;;;X
CW_WARNOVERLORD;他们从属于 $COUNTRY$ , \n这将使他们被保护并无法议和;;;;;;;;;;X
CW_WARNOVERLORD2;$ENEMY$从属于 $COUNTRY$ , \n这将使他们被保护并无法议和;;;;;;;;;;X
WECANTHEIRMIL_SETUP;当我们取消别国给予的军事通行权. ;;;;;;;;;;X
WECANTHEIRMIL_HEADER;使者来自;;;;;;;;;;X
WECANTHEIRMIL_1;$ACTOR$;;;;;;;;;;X
WECANTHEIRMIL_2;$MONARCHTITLE$, \n我们对通往他们国土的路不再感兴趣;;;;;;;;;;X
WECANTHEIRMIL_3;$RECIPIENT$;;;;;;;;;;X
WECANTHEIRMIL_4;因此, 我们必须取消其军事通行权. ;;;;;;;;;;X
WECANTHEIRMIL_5;*;;;;;;;;;;X
WECANTHEIRMIL_6;$ACTOR$的人民因这个消息而感到高兴. ;;;;;;;;;;X
WECANTHEIRMIL_LOG;$ACTOR$已经取消了$RECIPIENT$给予的军事通行权. ;;;;;;;;;;X
WECANTHEIRMIL_BTN1;好的;;;;;;;;;;X
WECANTHEIRMIL_BTN2;好的;;;;;;;;;;X
WECANTHEIRMIL_BTN3;转到;;;;;;;;;;X
WECANTHEIRMIL_MAP;*;;;;;;;;;;X
SUCCESSIONWAR_SETUP;当涉及其他国家的继承权战争爆发;;;;;;;;;;X
SUCCESSIONWAR_HEADER;$MESSENGER$;;;;;;;;;;X
SUCCESSIONWAR_1;$TARGET$的继承战争! ;;;;;;;;;;X
SUCCESSIONWAR_2;$MONARCHTITLE$, \n$SECOND$已经开始作战和;;;;;;;;;;X
SUCCESSIONWAR_3;$FIRST$;;;;;;;;;;X
SUCCESSIONWAR_4;$NATION$的老国王\n想在死后将王位传给$FIRST$. \n然而;;;;;;;;;;X
