;;;;;;;;;;X
ROY_WITH_MESS;与下列国家联姻: \n;;;;;;;;;;X
HEADER_MISSION;任务&决议;;;;;;;;;;X
EVTNAME9200;富有的邻国;;;;;;;;;;X
EVTDESC9200;$MONARCHTITLE$ $MONARCH$ 听说了 \n$COUNTRY_ADJ$ 边境的富庶程度. \n $COUNTRY$ 国内的派系坚持那些城市的统治\n权理所应当属于我们, 或者至少是劫掠权. ;;;;;;;;;;X
EVTOPTA9200;收获季节到了;;;;;;;;;;X
EVTNAME9201;弱小的邻国;;;;;;;;;;X
EVTDESC9201;弱小的邻国应该被$COUNTRY_ADJ$统治. \n我们需要扩张 $COUNTRY$ 的疆域. ;;;;;;;;;;X
EVTOPTA9201;消灭他们! ;;;;;;;;;;X
EVTNAME9202;软弱的$MONARCHTITLE$ $MONARCH$ . ;;;;;;;;;;X
EVTDESC9202;我国承平已久, 人民贪图安逸, 尚武之风不再. \n这不是$COUNTRY_ADJ$的道路, \n某些人开始宣称他们是新的\n$MONARCHTITLE$. ;;;;;;;;;;X
EVTOPTA9202;展示力量. ;;;;;;;;;;X
EVTNAME9203;$DYNASTY$承平日久. ;;;;;;;;;;X
EVTDESC9203;$DYNASTY$享受了太久的和平, 这是软弱和\n懒惰的标志. 很明显$DYNASTY$\n不再适合统治 $COUNTRY$ 了. \n一个新的继承者会更为适宜. ;;;;;;;;;;X
EVTOPTA9203;砍掉$HEIR_CAP_ADJ$的头! ;;;;;;;;;;X
EVTOPTB9203;我的话就是法律! ;;;;;;;;;;X
EVTNAME9204;$DYNASTY$不再获得尊敬;;;;;;;;;;X
EVTDESC9204;由于缺少能干的继承人和胜利, $COUNTRY$ \n的统治阶层正在花费大量时间考虑\n$DYNASTY$是否有能力统领\n$COUNTRY_ADJ$的军队. ;;;;;;;;;;X
EVTOPTA9204;快点处理这个问题. ;;;;;;;;;;X
EVTNAME9205;劫掠 $PROVINCENAME$ ;;;;;;;;;;X
