[spritetype.cpp:278]: Texture gfx\\interface\\button_type_5.tga have forbidden compression, have you tried DXT3?
[lexer.cpp:549]: Error on dynamic token: tianjie, Check if not already used elsewhere.
[lexer.cpp:549]: Error on dynamic token: mojia, Check if not already used elsewhere.
[persistent.cpp:39]: Error: "Malformed token: }, near line: 70
Malformed token: {, near line: 72
" in file: "common\governments.txt" near line: 85
[lexer.cpp:549]: Error on dynamic token: xiongnu, Check if not already used elsewhere.
[lexer.cpp:549]: Error on dynamic token: xiyu, Check if not already used elsewhere.
[lexer.cpp:549]: Error on dynamic token: kill_heir, Check if not already used elsewhere.
[persistent.cpp:39]: Error: "Unexpected token: death_date, near line: 21
" in file: "history\Countries\xnu - пые╚.txt" near line: 22
[id.cpp:84]: Failed to create id 7004 41. Already exists in game.
[id.cpp:84]: Failed to create id 1523 41. Already exists in game.
[persistent.cpp:39]: Error: "Unexpected token: death_date, near line: 21
" in file: "history\Countries\xnu - пые╚.txt" near line: 22
[id.cpp:84]: Failed to create id 970 37. Already exists in game.
[id.cpp:84]: Failed to create id 1 4713. Already exists in game.
[id.cpp:84]: Failed to create id 499 38. Already exists in game.
[id.cpp:84]: Failed to create id 601 38. Already exists in game.
[spritetype.cpp:278]: Texture gfx\\interface\\COT_bg.tga have forbidden compression, have you tried DXT3?
[spritetype.cpp:278]: Texture gfx\\interface\\unit_types_strip.tga have forbidden compression, have you tried DXT3?
[spritetype.cpp:278]: Texture gfx\\interface\\unit_types_s[persistent.cpp:39]: Error: "Unexpected token: death_date, near line: 21
" in file: "history\Countries\xnu - пые╚.txt" near line: 22
[id.cpp:84]: Failed to create id 974 37. Already exists in game.
[id.cpp:84]: Failed to create id 892 38. Already exists in game.
[id.cpp:84]: Failed to create id 1014 37. Already exists in game.
[id.cpp:84]: Failed to create id 899 38. Already exists in game.
[id.cpp:84]: Failed to create id 1178 37. Already exists in game.
[id.cpp:84]: Failed to create id 1015 38. Already exists in game.
[id.cpp:84]: Failed to create id 1034 37. Already exists in game.
[id.cpp:84]: Failed to create id 901 38. Already exists in game.
[id.cpp:84]: Failed to create id 1045 37. Already exists in game.
[id.cpp:84]: Failed to create id 904 38. Already exists in game.
[id.cpp:84]: Failed to create id 1082 37. Already exists in game.
[id.cpp:84]: Failed to create id 1039 37. Already exists in game.
[id.cpp:84]: Failed to create id 987 38. Already exists in game.
[id.cpp:84]: Failed to create id 1003 37. Already exists in game.
[id.cpp:84]: Failed to create id 896 38. Already exists in game.
[id.cpp:84]: Failed to create id 1110 37. Already exists in game.
[id.cpp:84]: Failed to create id 923 38. Already exists in game.
[id.cpp:84]: Failed to create id 1116 37. Already exists in game.
[id.cpp:84]: Failed to create id 928 38. Already exists in game.
[id.cpp:84]: Failed to create id 1095 37. Already exists in game.
[id.cpp:84]: Failed to create id 991 38. Already exists in game.
[id.cpp:84]: Failed to create id 1098 37. Already exists in game.
[id.cpp:84]: Failed to create id 1160 37. Already exists in game.
[id.cpp:84]: Failed to create id 1104 37. Already exists in game.
[id.cpp:84]: Failed to create id 967 38. Already exists in game.
[id.cpp:84]: Failed to create id 976 37. Already exists in game.
[id.cpp:84]: Failed to create id 948 38. Already exists in game.
[id.cpp:84]: Failed to create id 1056 37. Already exists in game.
[id.cpp:84]: Failed to create id 1135 37. Already exists in game.
[id.cpp:84]: Failed to create id 977 37. Already exists in game.
[id.cpp:84]: Failed to create id 953 38. Already exists in game.
[id.cpp:84]: Failed to create id 973 37. Already exists in game.
[id.cpp:84]: Failed to create id 923 37. Already exists in game.
[id.cpp:84]: Failed to create id 883 38. Already exists in game.
[id.cpp:84]: Failed to create id 949 37. Already exists in game.
[id.cpp:84]: Failed to create id 1067 37. Already exists in game.
[id.cpp:84]: Failed to create id 918 38. Already exists in game.
[id.cpp:84]: Failed to create id 985 37. Already exists in game.
[id.cpp:84]: Failed to create id 893 38. Already exists in game.
[id.cpp:84]: Failed to create id 1001 37. Already exists in game.
[id.cpp:84]: Failed to create id 931 38. Already exists in game.
[id.cpp:84]: Failed to create id 981 37. Already exists in game.
[id.cpp:84]: Failed to create id 1102 37. Already exists in game.
[id.cpp:84]: Failed to create id 1085 37. Already exists in game.
[id.cpp:84]: Failed to create id 1126 37. Already exists in game.
[id.cpp:84]: Failed to create id 965 37. Already exists in game.
[id.cpp:84]: Failed to create id 1131 37. Already exists in game.
[id.cpp:84]: Failed to create id 1134 37. Already exists in game.
[id.cpp:84]: Failed to create id 939 38. Already exists in game.
[id.cpp:84]: Failed to create id 967 37. Already exists in game.
[id.cpp:84]: Failed to create id 972 37. Already exists in game.
[id.cpp:84]: Failed to create id 1076 37. Already exists in game.
[id.cpp:84]: Failed to create id 940 38. Already exists in game.
[id.cpp:84]: Failed to create id 1144 37. Already exists in game.
[id.cpp:84]: Failed to create id 930 37. Already exists in game.
[id.cpp:84]: Failed to create id 1021 37. Already exists in game.
[id.cpp:84]: Failed to create id 898 38. Already exists in game.
[id.cpp:84]: Failed to create id 1168 37. Already exists in game.
[id.cpp:84]: Failed to create id 916 37. Already exists in game.
[id.cpp:84]: Failed to create id 970 37. Already exists in game.
[id.cpp:84]: Failed to create id 1048 37. Already exists in game.
[id.cpp:84]: Failed to create id 905 38. Already exists in game.
[id.cpp:84]: Failed to create id 1139 37. Already exists in game.
[id.cpp:84]: Failed to create id 1025 37. Already exists in game.
[id.cpp:84]: Failed to create id 1094 37. Already exists in game.
[id.cpp:84]: Failed to create id 1077 37. Already exists in game.
[id.cpp:84]: Failed to create id 911 38. Already exists in game.
[id.cpp:84]: Failed to create id 1108 37. Already exists in game.
[id.cpp:84]: Failed to create id 989 37. Already exists in game.
[id.cpp:84]: Failed to create id 894 38. Already exists in game.
[id.cpp:84]: Failed to create id 1180 37. Already exists in game.
[id.cpp:84]: Failed to create id 1083 37. Already exists in game.
[id.cpp:84]: Failed to create id 915 38. Already exists in game.
[id.cpp:84]: Failed to create id 1044 37. Already exists in game.
[id.cpp:84]: Failed to create id 907 38. Already exists in game.
[id.cpp:84]: Failed to create id 1158 37. Already exists in game.
[id.cpp:84]: Failed to create id 988 38. Already exists in game.
[id.cpp:84]: Failed to create id 499 38. Already exists in game.
[id.cpp:84]: Failed to create id 601 38. Already exists in game.
[id.cpp:84]: Failed to create id 656 38. Already exists in game.
[id.cpp:84]: Failed to create id 672 38. Already exists in game.
[id.cpp:84]: Failed to create id 743 38. Already exists in game.
[id.cpp:84]: Failed to create id 764 38. Already exists in game.
[id.cpp:84]: Failed to create id 765 38. Already exists in game.
[id.cpp:84]: Failed to create id 771 38. Already exists in game.
[id.cpp:84]: Failed to create id 799 38. Already exists in game.
[id.cpp:84]: Failed to create id 838 38. Already exists in game.
[id.cpp:84]: Failed to create id 878 38. Already exists in game.
[id.cpp:84]: Failed to create id 885 38. Already exists in game.
[id.cpp:84]: Failed to create id 1101 37. Already exists in game.
[id.cpp:84]: Failed to create id 919 38. Already exists in game.
[id.cpp:84]: Failed to create id 1063 37. Already exists in game.
[id.cpp:84]: Failed to create id 1123 37. Already exists in game.
[id.cpp:84]: Failed to create id 990 37. Already exists in game.
[id.cpp:84]: Failed to create id 1016 37. Already exists in game.
[id.cpp:84]: Failed to create id 1171 37. Already exists in game.
[id.cpp:84]: Failed to create id 1001 38. Already exists in game.
