province;red;green;blue;XXX
1;128;34;64;沓氏
2;0;36;128;文县
3;128;38;192;西安平
4;0;40;255;武次
5;128;42;0;襄平
6;0;44;64;候城
7;129;46;128;房县
8;1;48;192;屠何
9;129;50;255;阳乐
10;1;52;0;柳城
11;129;54;64;孤竹
12;1;56;128;令支
13;129;58;192;海阳
14;2;60;255;平刚
15;130;62;0;白狼
16;2;64;64;徐无
17;130;66;128;无终
18;2;68;192;昌城
19;130;70;255;要阳
20;2;72;0;滑盐
21;131;74;64;渔阳
22;3;76;128;平谷
23;131;78;192;路县
24;3;80;255;雍奴
25;131;82;0;泉州
26;3;84;64;纲成
27;131;86;128;女祁
28;4;88;192;居庸
29;132;90;255;昌平
30;4;92;0;沮阳
31;132;94;64;涿鹿
32;4;96;128;蓟
33;132;98;192;西乡
34;4;100;255;涿
35;133;102;0;方城
36;5;104;64;安次
37;133;106;128;临易
38;5;108;192;武阳
39;133;110;255;范阳
40;5;112;0;广昌
41;133;114;64;灵丘
42;6;116;128;代
43;134;118;192;高柳
44;6;120;255;班氏
45;134;122;0;平邑
46;6;124;64;延陵
47;134;126;128;平城
48;6;128;192;善无
49;135;130;255;马邑
50;7;132;0;楼烦
51;135;134;64;繁畤
52;7;136;128;剧阳
53;135;138;192;强阴
54;7;140;255;霍人
55;135;142;0;阳曲
56;8;144;64;汾阳
57;136;146;128;临水
58;8;148;192;离石
59;136;150;255;仇由
60;8;152;0;孟县
61;136;154;64;晋阳
62;8;156;128;祁县
63;137;158;192;邬县
64;9;32;255;瓜衍县
65;137;34;0;魏榆
66;9;36;64;蒲
67;137;38;128;屈
68;9;40;192;彘
69;137;42;255;黄父
70;10;44;0;杨
71;138;46;64;平阳
72;10;48;128;翼
73;138;50;192;绛
74;10;52;255;韩
75;138;54;0;曲沃
76;10;56;64;智
77;139;58;128;魏
78;11;60;192;虞
79;139;62;255;安邑
80;11;64;0;瓠丘
81;139;66;64;盖与
82;11;68;128;铜鞮
83;139;70;192;壶口
84;12;72;255;潞氏
85;140;74;0;留吁
86;12;76;64;长平
87;140;78;128;伊氏
88;12;80;192;高都
89;140;82;255;长子
90;12;84;0;铎辰
91;141;86;64;逆畤
92;13;88;128;恒山
93;141;90;192;顾
94;13;92;255;灵寿
95;141;94;0;元氏
96;13;96;64;昔阳
97;141;98;128;东垣
98;14;100;192;肥
99;142;102;255;曲阳
100;14;104;0;井陉
101;142;106;64;鄗
102;14;108;128;高阳
103;85;80;32;饶
104;14;112;255;安平
105;143;114;0;河间
106;15;116;64;武城
107;143;118;128;观津
108;15;120;192;扶柳
109;143;122;255;章武
110;15;124;0;文安
111;143;126;64;巨鹿
112;16;128;128;邯郸
113;144;130;192;信都
114;16;132;255;柏人
115;144;134;0;冠氏
116;16;136;64;武安
117;144;138;128;曲梁
118;16;140;192;邺县
119;145;142;255;广阿
120;17;144;0;列人
121;145;146;64;南和
122;17;148;128;清河
123;145;150;192;魏县
124;17;152;255;朝歌
125;145;154;0;温
126;18;156;64;凡
127;146;158;128;野王
128;18;32;192;原
129;146;34;255;河阳
130;18;36;0;安阳
131;146;38;64;中牟
132;18;40;128;山阳
133;147;42;192;宁
134;19;44;255;共
135;147;46;0;武城
136;19;48;64;成乐
137;147;50;128;云中
138;19;52;192;原阳
139;147;54;255;定襄
140;20;56;0;五原
141;148;58;64;西安阳
142;20;60;128;河阴
143;148;62;192;临河
144;20;64;255;临戎
145;148;66;0;朔方
146;20;68;64;曼柏
147;149;70;128;肤施
148;21;72;192;平定
149;149;74;255;平都
150;21;76;0;高奴
151;149;78;64;定阳
152;21;80;128;雕阴
153;149;82;192;阳周
154;22;84;255;奢延
155;150;86;0;近塞
156;22;88;64;富平
157;150;90;128;廉县
158;22;92;192;灵武
159;150;94;255;昫衍
160;22;96;0;大成
161;151;98;64;河套
162;23;100;128;高望
163;151;102;192;归德
164;23;104;255;三水
165;151;106;0;乌市
166;23;108;64;祖厉
167;151;110;128;郁郅
168;24;112;192;高平
169;152;114;255;义渠
170;24;116;0;豲
171;152;118;64;冀
172;24;120;128;绵诸
173;152;122;192;西垂
174;24;124;255;枹罕
175;153;126;0;狄道
176;25;128;64;临洮
177;153;130;128;下辨
178;25;132;192;吴阳
179;153;134;255;雍
180;25;136;0;陈仓
181;153;138;64;天水
182;26;140;128;金城
183;154;142;192;首阳
184;26;144;255;氐道
185;154;146;0;河池
186;26;148;64;共
187;154;150;128;阴密
188;26;152;192;安武
189;155;154;255;泥阳
190;27;156;0;上邽
191;155;158;64;镐京
192;27;32;128;郿
193;155;34;192;杜阳
194;27;36;255;中南山
195;155;38;0;丰
196;28;40;64;泾阳
197;156;42;128;咸阳
198;28;44;192;高陵
199;156;46;255;栋阳
200;28;248;0;鄜
201;156;50;64;少梁
202;28;52;128;大荔
203;157;54;192;征
204;29;56;255;郑县
205;157;58;0;频阳
206;29;60;64;好畤
207;157;62;128;蓝田
208;29;64;192;於商
209;157;66;255;栒邑
210;30;68;0;漆县
211;158;70;64;武功
212;30;72;128;骊山
213;158;74;192;云阳
214;30;76;255;上洛
215;158;78;0;重泉
216;30;80;64;颌阳
